pmid,authors
17653759,"Fairbairn, David J|Cavallaro, Antonino S|Bernard, Margaret|Mahalinga-Iyer, Janani|Graham, Michael W|Botella, Jos&eacute; R"
15319038,"Hosono, Tetsuji|Mizuguchi, Hiroyuki|Katayama, Kazufumi|Xu, Zhi-Li|Sakurai, Fuminori|Ishii-Watabe, Akiko|Kawabata, Kenji|Yamaguchi, Teruhide|Nakagawa, Shinsaku|Mayumi, Tadanori|Hayakawa, Takao"
17825787,"Zhao, Le|Chen, Wei|Taylor, Kathryn M|Cai, Bin|Li, Xu"
16900088,"Di Duca, M|Oleggini, R|Sanna-Cherchi, S|Pasquali, L|Di Donato, A|Parodi, S|Bertelli, R|Caridi, G|Frasca, G|Cerullo, G|Amoroso, A|Schena, F P|Scolari, F|Ghiggeri, G M|"
18374648,"Stielow, Bastian|Sapetschnig, Alexandra|Kr&uuml;ger, Imme|Kunert, Natascha|Brehm, Alexander|Boutros, Michael|Suske, Guntram"
15310838,"Granger, Laure|Martin, Edwige|S&eacute;galat, Laurent"
14647285,"Silva, Jose M|Sachidanandam, Ravi|Hannon, Gregory J"
12181491,"Klahre, Ulrich|Cr&eacute;t&eacute;, Patrice|Leuenberger, Sabrina A|Iglesias, Victor A|Meins, Frederick"
16154611,"Iki, Shigeo|Yokota, Shin-ichi|Okabayashi, Tamaki|Yokosawa, Noriko|Nagata, Kyosuke|Fujii, Nobuhiro"
18218995,"Watson, Patricia M|Miller, Scott W|Fraig, Mostafa|Cole, David J|Watson, Dennis K|Boylan, Alice M"
17096690,"Panguluri, Siva K|Kumar, Prasanna|Palli, Subba R"
17473522,"Honma, Kimi|Takeshita, Fumitaka|Ochiya, Takahiro"
17276913,"Cho, Saeyoull|Rogers, Katherine W|Fay, David S"
18022385,"Kikuchi, Ken|Tsuchiya, Kunihiko|Otabe, Osamu|Gotoh, Takahiro|Tamura, Shinichi|Katsumi, Yoshiki|Yagyu, Shigeki|Tsubai-Shimizu, Satoko|Miyachi, Mitsuru|Iehara, Tomoko|Hosoi, Hajime"
10887151,"Dernburg, A F|Zalevsky, J|Colai&aacute;covo, M P|Villeneuve, A M"
18079726,"Kappel, Sven|Matthess, Yves|Kaufmann, Manfred|Strebhardt, Klaus"
17113066,"McGhee, James D|Sleumer, Monica C|Bilenky, Mikhail|Wong, Kim|McKay, Sheldon J|Goszczynski, Barbara|Tian, Helen|Krich, Natisha D|Khattra, Jaswinder|Holt, Robert A|Baillie, David L|Kohara, Yuji|Marra, Marco A|Jones, Steven J M|Moerman, Donald G|Robertson, A Gordon"
17080297,"Li, Qinlong|Yan, Wei|Cheng, Shengquan|Guo, Shuangping|Wang, Wenyong|Zhang, Zhipei|Wang, Li|Zhang, Jing|Wang, Wenliang"
18579430,"Choi, Moon-Chang|Lee, Yang-Ui|Kim, Sung-Hak|Lee, Ju-Hee|Park, Jung-Hyun|Streb, Jeffrey W|Oh, Do-Youn|Im, Seock-Ah|Kim, Tae-You|Jong, Hyun-Soon|Bang, Yung-Jue"
15163361,"Lehner, Ben|Fraser, Andrew G|Sanderson, Christopher M"
12115936,"Sal&oacute;, Emili|Bagu&ntilde;&agrave;, Jaume"
17579999,"Simeckov&aacute;, K|Brozov&aacute;, E|Voh&aacute;nka, J|Pohludka, M|Kostrouch, Z|Krause, M W|Rall, J E|Kostrouchov&aacute;, M"
16203742,"Anderson, Peter R|Kirby, Kim|Hilliker, Arthur J|Phillips, John P"
16318422,"Hexner, Elizabeth O|Gewirtz, Alan M"
18710486,"Zhang, Xiaohua Douglas"
18022355,"Till, Susanne|Ladurner, Andreas G"
17588178,"Roccaro, Mario|Li, Yubin|Sommer, Hans|Saedler, Heinz"
15081425,"Kano, Hideyuki|Arakawa, Yoshiki|Takahashi, Jun A|Nozaki, Kazuhiko|Kawabata, Yasuhiro|Takatsuka, Kenji|Kageyama, Ryoichiro|Ueba, Tetsuya|Hashimoto, Nobuo"
18096080,"Lloyd, Andrew H|Milligan, Andrew S|Langridge, Peter|Able, Jason A"
16531407,"Ulvila, Johanna|Parikka, Mataleena|Kleino, Anni|Sormunen, Raija|Ezekowitz, R Alan|Kocks, Christine|R&auml;met, Mika"
16555980,"Lage, Hermann"
16867275,"Chen, Juan|Chen, Wei-xian|Huang, Ai-long|Shan, Lin-na|Zhang, Bing-qiang|Zhang, Zhen-zhen"
15024074,"Nabatiyan, Arman|Krude, Torsten"
16154569,"Qi, Yijun|Hannon, Gregory J"
16957385,"Lin, Shi-Lung|Chang, Donald C|Ying, Shao-Yao"
16154568,"Li, Hong-Wei|Ding, Shou-Wei"
16957384,"Lin, Shi-Lung|Ying, Shao-Yao"
12804036,"Harborth, Jens|Elbashir, Sayda M|Vandenburgh, Kim|Manninga, Heiko|Scaringe, Stephen A|Weber, Klaus|Tuschl, Thomas"
16957380,"Omoto, Shinya|Fujii, Yoichi R"
17350596,"Xu, Rang|Zhang, Ping|Huang, Jian|Ge, ShengFang|Lu, Jian|Qian, GuanXiang"
18407364,"Nishimoto, Yoshinori|Yamashita, Takenari|Hideyama, Takuto|Tsuji, Shoji|Suzuki, Norihiro|Kwak, Shin"
17588164,"Zhang, Hong-Bin|Wu, Jie|Xian, Jiang|Pei, Lei|Wang, Jie"
16867268,"Chen, Bi-hua|Hu, Mei-yu|Liu, Kang-da|Wang, Zhi-jun|Wu, Wei-zhong|Zhang, Yan|Zhou, Kang"
