ieee transactions on automation science and engineering	ieee transactions on automation science and engineering
j protein chem	journal of protein chemistry
palaeogeo p	palaeogeography palaeoclimatology palaeoecology
zeitschrift fur dialektologie und linguistik	zeitschrift fur dialektologie und linguistik
nachr chem	nachrichten aus der chemie
przeglad menopauzalny	przeglad menopauzalny
14777835	management of environmental quality
02652048	journal of microencapsulation
schweizerische monatsschrift fur zahnmedizin revue mensuelle suisse dodontostomatologie rivista mensile svizzera di odontologia e stomatologia sso	schweizer monatsschrift fur zahnmedizin revue mensuelle suisse dodontostomatologie rivista mensile svizzera di odontologia e stomatologia sso
chinese education and society	chinese education and society
16101928	acta acustica united with acustica
physical review b condensed matter and materials physics	physical review b condensed matter and materials physics
int j ind ergonomic	international journal of industrial ergonomics
ser libr	serials librarian
astronomische nachrichten	astronomische nachrichten
nuclear instruments and methods in physics research section b beam interactions with materials and atoms	nuclear instruments and methods in physics research section b beam interactions with materials and atoms
agricultural and forest entomology	agricultural and forest entomology
solid state technology	solid state technology
hong kong journal of emergency medicine	hong kong journal of emergency medicine
russian chemical bulletin	russian chemical bulletin
iee proceedings computers and digital techniques	iee proceedings computers and digital techniques
j econometrics	journal of econometrics
langenbecks archives of surgery deutsche gesellschaft fur chirurgie	langenbecks archives of surgery
indiana law j	indiana law journal
journal of applied clinical medical physics electronic resource american college of medical physics	journal of applied clinical medical physics electronic resource american college of medical physics
annals of physics	annals of physics
jixie gongcheng xuebaochinese journal of mechanical engineering	jixie gongcheng xuebaochinese journal of mechanical engineering
frontiers of medical and biological engineering	frontiers of medical and biological engineering the international journal of the japan society of medical electronics and biological engineering
inf softw t	information and software technology
metabolic syndrome and related disorders	metabolic syndrome and related disorders
journal of experimental psychologyhuman perception and performance	journal of experimental psychology human perception and performance
minerva car	minerva cardioangiologica
adm law rev	administrative law review
musiclett	musiclett
cardiovascular and interventional radiology	cardiovascular and interventional radiology
czech j food sci	czech journal of food sciences
int j soc psychiatry	international journal of social psychiatry
hawaii med j	hawaii medical journal
journal of environmental health	journal of environmental health
j clust sci	journal of cluster science
07423322	geography and strategy
acta chroma	acta chromatographica
russian journal of organic chemistry	russian journal of organic chemistry
09406689	physikalische medizin rehabilitationsmedizin kurortmedizin
journal of womens health	journal of womens health
01664328	behavioural brain research
conference proceedings joint 2002 csceasce international conference on environmental engineering an international perspective on environmental engineering	conference proceedings joint 2002 csceasce international conference on environmental engineering an international perspective on environmental engineering
oxford economic papersnew series	oxford economic papers
rev bras ci	revista brasileira de ciencia do solo
annual ieee semiconductor thermal measurement and management symposium	annual ieee semiconductor thermal measurement and management symposium
j infor ethics	journal of information ethics
adv comput d	advances in computers
aequationes mathematicae	aequationes mathematicae
biol cell	biology of the cell
journal of social psychology	journal of social psychology
10641955	hypertension in pregnancy
journal of maritime law and commerce	journal of maritime law and commerce
human reproduction oxford england	human reproduction
network computation in neural systems	network computation in neural systems
14244616	exogenous dermatology
10467408	american journal of reproductive immunology
arch ital biol	archives italiennes de biologie
syst appl microbiol	systematic and applied microbiology
international journal of earth sciences	international journal of earth sciences
proceedings of the ieee indicon 2004 1st india annual conference	proceedings of the ieee indicon 2004 1st india annual conference
acm transactions on information systems	acm transactions on information systems
10619364	the journal of oncology management the official journal of the american college of oncology administrators
13492365	international heart journal
00060887	biblica
1028768x	acta neurologica taiwanica
xiyou jinshu cailiao yu gongchengrare metal materials and engineering	xiyou jinshu cailiao yu gongchengrare metal materials and engineering
hinyokika kiyo acta urologica japonica	acta urologica japonica
0137723x	przeglad pediatryczny
biotechnol bioproc e	biotechnology and bioprocess engineering
matematicki vesnik	matematicki vesnik
magn res m	magnetic resonance in medicine
diqiu kexue zhongguo dizhi daxue xuebao	diqiu kexue zhongguo dizhi daxue xuebaoearth science journal of china university of geosciences
foundations of computational mathematics	foundations of computational mathematics
acad mgmt r	academy of management review
j algebr comb	journal of algebraic combinatorics
ieee computer graphics and applications	ieee computer graphics and applications
auto constr	automation in construction
acad mgmt e	academy of management executive
00315990	perspectives in psychiatric care
eur biophys j biophy	european biophysics journal
european transactions on telecommunications	european transactions on telecommunications
j cosmet sc	journal of cosmetic science
15325490	natl cathol bioeth q
journal of food protection	journal of food protection
acad mgmt j	academy of management journal
am j agr ec	american journal of agricultural economics
00224154	journal of rehabilitation
can j agr econ	canadian journal of agricultural economics
revue francaise d etudes americaines	revue francaise detudes americaines
journal of business economics and management	journal of business economics and management
pragmatics and cognition	pragmatics and cognition
mutation researchreviews in mutation research	mutation research reviews in mutation research
journal of optoelectronics laser	guangdianzi jiguangjournal of optoelectronics laser
economist london england 1843	economist
1099839x	current issues in education
17624231	emc neurologie
nurs clin n amer	nursing clinics of north america
14726947	bmc medical informatics and decision making
j exp an en	journal of exposure analysis and environmental epidemiology
annales de medecine interne	annales de medecine interne
gartenbauwissenschaft	gartenbauwissenschaft
poli societ	politics and society
journal of the japan research association for textile enduses	journal of the japan research association for textile enduses
medical mycology official publication of the international society for human and animal mycology	medical mycology
10135472	journal of postgraduate medical institute
contributions to mineralogy and petrology	contributions to mineralogy and petrology
proceedings design automation conference	proceedings design automation conference
journal of oral rehabilitation	journal of oral rehabilitation
journal of environmental law	journal of environmental law
prog nucl a	progress in nucleic acid research and molecular biology
08981507	lasers in engineering
02552922	journal of traditional chinese medicine
archives of surgery	archives of surgery
neurologist	neurologist
journal of the american aging association	age
amer speech	american speech
j consum res	journal of consumer research
solar system research	solar system research
91549490	oncologist
dye pigment	dyes and pigments
j health care finance	journal of health care finance
00112275	cryogenics
j psychoactive drugs	journal of psychoactive drugs
the pharos of alpha omega alphahonor medical society alpha omega alpha	the pharos of alpha omega alphahonor medical society alpha omega alpha
geoarabia	geoarabia
j adolescen	journal of adolescence
00222879	journal of money credit and banking
81460475	natural product reports
hum cell	human cell official journal of human cell research society
aids and social services	journal of hivaids and social services
08845891	proceedings of the ocean drilling program scientific results
j photoch photobio b	journal of photochemistry and photobiology b biology
j photoch photobio a	journal of photochemistry and photobiology a chemistry
soil sediment contamination	soil and sediment contamination
journal of information technology	journal of information technology
ling philos	linguistics and philosophy
research and theory for nursing practice	research and theory for nursing practice
03705579	japanese journal of clinical ophthalmology
pediatr hematol oncol	pediatric hematology and oncology
15246434	acs division of environmental chemistry preprints of extended abstracts
10255842	computer methods in biomechanics and biomedical engineering
med bio e c	medical and biological engineering and computing
91475493	economic record
journal of operations management	journal of operations management
j dyn syst meas contr	journal of dynamic systems measurement and control transactions of the asme
der pathologe	der pathologe
91475498	palaeontology
09218181	global and planetary change
proceedings of the international conference on information and knowledge engineering	proceedings of the international conference on information and knowledge engineering
hellenic journal of nuclear medicine	hellenic journal of nuclear medicine
journal of risk research	journal of risk research
contemp ob	contemporary obgyn
09704140	journal of the indian institute of science
15329798	pediatric case reviews
journal of clinical orthodontics jco	journal of clinical orthodontics jco
j antibiot tokyo	journal of antibiotics
journal of automation and information sciences	journal of automation and information sciences
european journal of contraception and reproductive health care	european journal of contraception and reproductive health care
physics education	physics education
proceedings of the institution of mechanical engineers part e journal of process mechanical engineering	proceedings of the institution of mechanical engineers part e journal of process mechanical engineering
glqj lesbian gay stud	glqa journal of lesbian and gay studies
international journal of web services research	international journal of web services research
16103653	environmental chemistry letters
0734578x	southeastern archaeology
journal of the optical society of america aoptics image science and vision	journal of the optical society of america a optics and image science and vision
j teach edu	journal of teacher education
br j haem	british journal of haematology
water engineering and management	water engineering and management
naval architect	naval architect
lwtfood sc	lebensmittelwissenschaft undtechnologiefood science and technology
02739550	graphics network southern graphics
indian vet j	indian veterinary journal
09254439	biochimica et biophysica acta molecular basis of disease
ann epidemiol	annals of epidemiology
economic affairs	economic affairs
10637710	acoustical physics
aust j eart	australian journal of earth sciences
patologicheskaia fiziologiia i eksperimentalnaia terapiia	patologicheskaia fiziologiia i eksperimentalnaia terapiia
neoplasia new york ny	neoplasia
1560408x	rossiiskii gastroenterologicheskii zhurnal ezhekvartalnyi nauchnoprakticheskii zhurnal
computer law and security report	computer law and security report
austnzjmed	austnzjmed
the abnf journal official journal of the association of black nursing faculty in higher education inc	the abnf journal official journal of the association of black nursing faculty in higher education inc
adv ecol sc	advances in ecological sciences
09284931	materials science and engineering c
00030996	american scientist
appl organometal chem	applied organometallic chemistry
j orthop sports phys ther	journal of orthopaedic and sports physical therapy
abstracts of the pacific basin nuclear conference	abstracts of the pacific basin nuclear conference
01422421	surface and interface analysis
71076975	journal of artificial intelligence research
applied mathematics and optimization	applied mathematics and optimization
91029041	geophysical and astrophysical fluid dynamics
veterinary dermatology	veterinary dermatology
10774114	journal of pediatric hematologyoncology
health fac	health facilities management
09295666	letters in peptide science
denver university law review	denver university law review
int j intercult rel	international journal of intercultural relations
transit metal chem	transition metal chemistry
sociology of sport journal	sociology of sport journal
proceedings international conference on data engineering	proceedings international conference on data engineering
signal proc	signal processing
01902725	social psychology quarterly
00721050	geological journal
can j lingrev can l	canadian journal of linguistics
01976729	journal of advanced transportation
gruppenpsychother gruppendyn	gruppenpsychotherapie und gruppendynamik
envir geol	environmental geology
03051870	clinical and experimental pharmacology physiology
00042927	ars pharmaceutica
