journ_id,journal_name,source_type
1,Chinese Journal of Ophthalmology,Scopus
2,[Hokkaido igaku zasshi] The Hokkaido journal of medical science,Scopus
3,[Nippon koshu eisei zasshi] Japanese journal of public health,Scopus
3,[Nippon K??Sh?? Eisei Zasshi] Japanese Journal Of Public Health,Scopus
5,[Rinsho ketsueki] The Japanese journal of clinical hematology,Scopus
6,"""10th International Symposium on Integrated Circuits, Devices and Systems, ISIC-2004: Integrated Systems on Silicon - Proceedings""",Scopus
7,11th ADIPEC: Abu Dhabi International Petroleum Exhibition and Conference - Conference Proceedings,Scopus
8,11th Conference on Mesoscale Processes and the 32nd Conference on Radar Meteorology,Scopus
9,"""11th IEEE International Conference on Electronics, Circuits and Systems, ICECS 2004""",Scopus
10,"""11th International Conference on Architectural Support for Programming Languages and Operating Systems, ASPLOS XI""",Scopus
11,"""12th IEEE International Conference on Advanced Thermal Processing of Semiconductors, RTP 2004""",Scopus
12,12th International Conference on Multiphase Production Technology '05,Scopus
13,13th Conference on Interactions of the Sea and Atmosphere,Scopus
14,13th IEEE Workshop on Local and Metropolitan Area Networks (LANMAN 2004),Scopus
15,13th Joint Conference on the Applications of Air Pollution Meteorology with the Air and Waste Management Association,Scopus
16,14th International Conference and Exhibition on Liquefied Natural Gas,Scopus
17,"""15th International Conference on Microwaves, Radar and Wireless Communications, MIKON - 2004""",Scopus
18,16th Conference on Biometeorology and Aerobiology,Scopus
19,16th Symposium on Boundary Layers and Turbulence,Scopus
20,17th International Conference on Water Jetting: Advances and Future Needs,Scopus
21,"""18th Annual Waste Testing and Quality Assurance Symposium, WTQA 2002 - Proceedings""",Scopus
22,"""19th Annual ACM Conference on Object-Oriented Programming, Systems, Languages, and Applications, OOPSLA'04""",Scopus
23,"""1st International Symposium on Wireless Communication Systems 2004, Proceedings ISWCS '04""",Scopus
24,2000 IEEE Wireless Communications and Networking Conference,Scopus
25,2001 IEEE Fourth Workshop on Multimedia Signal Processing,Scopus
26,2001 IEEE Symposium on Human-Centric Computing,Scopus
27,2001 IEEE Workshop on High Performance Switching and Routing,Scopus
28,2001 International Conference on Computational Nanoscience - ICCN 2001,Scopus
29,2001 International Conference on Modeling and Simulation of Microsystems - MSM 2001,Scopus
30,2001/2002 TAPPI Technical Information Papers,Scopus
31,2002 International Conference on Computational Nanoscience and Nanotechnology - ICCN 2002,Scopus
32,2002 International Conference on Modeling and Simulation of Microsystems - MSM 2002,Scopus
33,"""2003 IEEE Power Engineering Society General Meeting, Conference Proceedings""",Scopus
34,2003 International Mechanical Pulping Conference,Scopus
35,2003 Nanotechnology Conference and Trade Show - Nanotech 2003,Scopus
36,2003 RCRA National Meeting: Putting Resource Conservation into RCRA,Scopus
37,"""2004 10th International Workshop on Computational Electronics, IEEE IWCE-10 2004, Abstracts""",Scopus
38,2004 11th International Conference on Harmonics and Quality of Power,Scopus
39,2004 12th Symposium on Electromagnetic Launch Technology,Scopus
40,2004 1st IEEE International Conference on Group IV Photonics,Scopus
41,2004 1st IEEE Lightwave Technologies in Instrumentation and Measurement Conference,Scopus
42,"""2004 1st IEEE Technical Exhibition Based Conference on Robotics and Automation, Proceedings, TExCRA 2004""",Scopus
43,"""2004 1st International Conference on Electrical and Electronics Engineering, ICEEE""",Scopus
44,2004 1st International Conference on Power Electronics Systems and Applications Proceedings,Scopus
45,2004 2nd IEEE International Symposium on Biomedical Imaging: Macro to Nano,Scopus
46,2004 2nd International IEEE Conference 'Intelligent Systems' - Proceedings,Scopus
47,2004 4th IEEE Conference on Nanotechnology,Scopus
48,2004 4th IEEE International Conference on Polymers and Adhesives in Microelectronics and Photonics,Scopus
49,2004 4th IEEE-RAS International Conference on Humanoid Robots,Scopus
50,"""2004 4th International Conference on Microwave and Millimeter Wave Technology, ICMMT 2004""",Scopus
51,"""2004 4th International Crimean Conference: Microwave and Telecommunication Technology - Conference Proceedings, CriMiCo'04""",Scopus
52,"""2004 4th Workshop on Applications and Services in Wireless Networks, ASWN""",Scopus
53,2004 5th Asian Control Conference,Scopus
54,"""2004 7th International Conference on Signal Processing Proceedings, ICSP""",Scopus
55,"""2004 8th International Conference on Control, Automation, Robotics and Vision (ICARCV)""",Scopus
56,"""2004 9th IEEE Singapore International Conference on Communication Systems, ICCS""",Scopus
57,"""2004 AIChE Spring Meeting, Conference Proceedings""",Scopus
